Object,Mass,r_x,r_y,v_x,v_y,Radius,Color
Sun,1.989E+30,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.000E+9,yellow
Mercury,3.285E+23,5.791E+10,0.000E+00,0.000E+00,4.788E+04,5.000E9,gray
Venus,4.867E+24,1.082E+11,0.000E+00,0.000E+00,3.503E+04,5.000E+9,orange
Earth,5.972E+24,1.496E+11,0.000E+00,0.000E+00,2.979E+04,5.000E+9,blue
Mars,6.419E+23,2.279E+11,0.000E+00,0.000E+00,2.414E+04,5.000E+9,red
